bnumber	domain
b0928	IPR004839
b0928	IPR000796
b0928	IPR004838
b0928	IPR015424
b0928	IPR015422
b0928	IPR015421
b0929	IPR033900
b0929	IPR023614
b0929	IPR001897
b0929	IPR001702
b0929	IPR013793
b0930	IPR004364
b0930	IPR006195
b0930	IPR004522
b0930	IPR002312
b0930	IPR012340
b0930	IPR004365
b0931	IPR041525
b0931	IPR040727
b0931	IPR006406
b0931	IPR007229
b0931	IPR036068
b0932	IPR042097
b0932	IPR038438
b0932	IPR001930
b0932	IPR014782
b0932	IPR012779
b0932	IPR024601
b0932	IPR037144
b0932	IPR035414
b0932	IPR027268
b0933	IPR003593
b0933	IPR003439
b0933	IPR017871
b0933	IPR027417
b0933	IPR017875
b0934	IPR000515
b0934	IPR035906
b0935	IPR019911
b0935	IPR011251
b0935	IPR036661
b0936	IPR010067
b0936	IPR001638
b0936	IPR015168
b0937	IPR029039
b0937	IPR005025
b0937	IPR020048
b0938	IPR000259
b0938	IPR036937
b0938	IPR008966
b0939	IPR013783
b0939	IPR008962
b0939	IPR036316
b0939	IPR001829
b0939	IPR016148
b0939	IPR018046
b0939	IPR016147
b0940	IPR000015
b0940	IPR018030
b0940	IPR042186
b0940	IPR025949
b0940	IPR043142
b0940	IPR025885
b0940	IPR037224
b0941	IPR000259
b0941	IPR036937
b0941	IPR008966
b0942	IPR000259
b0942	IPR036937
b0942	IPR008966
b0943	IPR000259
b0943	IPR036937
b0943	IPR008966
b0944	IPR013783
b0944	IPR008962
b0944	IPR036316
b0944	IPR001829
b0944	IPR016148
b0944	IPR018046
b0944	IPR016147
b0945	IPR013785
b0945	IPR005720
b0945	IPR012135
b0945	IPR005719
b0945	IPR001295
b0946	IPR009809
b0947	IPR036010
b0947	IPR001041
b0947	IPR006058
b0947	IPR012675
b0947	IPR005302
b0947	IPR005303
b0947	IPR011037
b0948	IPR017244
b0948	IPR002052
b0948	IPR000241
b0948	IPR019614
b0948	IPR029063
b0948	IPR004114
b0949	IPR003593
b0949	IPR032524
b0949	IPR032781
b0949	IPR003439
b0949	IPR017871
b0949	IPR027417
b0949	IPR043686
b0949	IPR037118
b0950	IPR007498
b0950	IPR005219
b0951	IPR003399
b0952	IPR005586
b0953	IPR007040
b0953	IPR023200
b0954	IPR010083
b0954	IPR013114
b0954	IPR029069
b0955	IPR041699
b0955	IPR008269
b0955	IPR027065
b0955	IPR020568
b0955	IPR014721
b0956	IPR013321
b0956	IPR009390
b0956	IPR035375
b0956	IPR035087
b0956	IPR038339
b0957	IPR011250
b0957	IPR006664
b0957	IPR002368
b0957	IPR006665
b0957	IPR006690
b0957	IPR036737
b0957	IPR000498
b0958	IPR004596
b0958	IPR027417
b0959	IPR007077
b0959	IPR007076
b0959	IPR026256
b0960	IPR010019
b0960	IPR010020
b0960	IPR032692
b0961	IPR031308
b0961	IPR005185
b0962	IPR014017
b0962	IPR000212
b0962	IPR022161
b0962	IPR027417
b0962	IPR014016
b0962	IPR034739
b0963	IPR004363
b0963	IPR018148
b0963	IPR011607
b0963	IPR036914
b0964	IPR018635
b0965	IPR003781
b0965	IPR036291
b0966	IPR011722
b0966	IPR036623
b0966	IPR022866
b0967	IPR002478
b0967	IPR015947
b0967	IPR036974
b0967	IPR041532
b0967	IPR023542
b0967	IPR019614
b0967	IPR029063
b0968	IPR020456
b0968	IPR001792
b0968	IPR036046
b0968	IPR028627
b0968	IPR017968
b0969	IPR042072
b0969	IPR025526
b0969	IPR043163
b0969	IPR007453
b0970	IPR006213
b0970	IPR006214
b0972	IPR027394
b0972	IPR006137
b0972	IPR037148
b0972	IPR037024
b0972	IPR001821
b0972	IPR006311
b0972	IPR019546
b0973	IPR001501
b0973	IPR018194
b0973	IPR029014
b0974	IPR011577
b0974	IPR016174
b0974	IPR000516
b0975	IPR004419
b0975	IPR023430
b0975	IPR000671
b0976	IPR010893
b0976	IPR036249
b0977	IPR038527
b0977	IPR006894
b0978	IPR002585
b0979	IPR003317
b0980	IPR033379
b0980	IPR000560
b0980	IPR029033
b0981	IPR025669
b0981	IPR005702
b0981	IPR032807
b0981	IPR003856
b0981	IPR027417
b0982	IPR023485
b0982	IPR036196
b0982	IPR017867
b0983	IPR003715
b0983	IPR019554
b0983	IPR040716
b0984	IPR010344
b0985	IPR010425
b0986	IPR021308
b0986	IPR023373
b0988	IPR005063
b0989	IPR012156
b0989	IPR011129
b0989	IPR019844
b0989	IPR002059
b0989	IPR012340
b0990	IPR012156
b0990	IPR011129
b0990	IPR019844
b0990	IPR002059
b0990	IPR012340
b0991	IPR031853
b0992	IPR017896
b0992	IPR017900
b0993	IPR011006
b0993	IPR003660
b0993	IPR003594
b0993	IPR036890
b0993	IPR005467
b0993	IPR003661
b0993	IPR036097
b0993	IPR036641
b0993	IPR037952
b0993	IPR004358
b0993	IPR008207
b0993	IPR014302
b0993	IPR001789
b0993	IPR038188
b0994	IPR001761
b0994	IPR028082
b0994	IPR014301
b0995	IPR011006
b0995	IPR001867
b0995	IPR001789
b0995	IPR039420
b0995	IPR036388
b0996	IPR009154
b0996	IPR011031
b0996	IPR036280
b0996	IPR005126
b0996	IPR038266
b0997	IPR009010
b0997	IPR006658
b0997	IPR041954
b0997	IPR041460
b0997	IPR006657
b0997	IPR006656
b0997	IPR006655
b0997	IPR006311
b0997	IPR011887
b0998	IPR023069
b0998	IPR020945
b0998	IPR036386
b0998	IPR036411
b0999	IPR022835
b1	IPR014448
b1000	IPR023859
b1000	IPR002939
b1000	IPR001623
b1000	IPR018253
b1000	IPR008971
b1000	IPR036869
b1002	IPR033379
b1002	IPR000560
b1002	IPR029033
b1003	IPR025600
b1004	IPR008254
b1004	IPR029039
b1004	IPR010089
b1004	IPR005025
b1004	IPR037513
b1006	IPR019918
b1006	IPR006042
b1006	IPR006043
b1007	IPR002563
b1007	IPR019917
b1007	IPR012349
b1008	IPR029479
b1008	IPR000415
b1008	IPR023936
b1009	IPR029058
b1009	IPR000073
b1009	IPR019913
b1010	IPR019897
b1010	IPR019898
b1010	IPR035959
b1010	IPR006175
b1011	IPR000868
b1011	IPR036380
b1011	IPR019916
b1012	IPR011251
b1012	IPR036661
b1012	IPR019914
b1013	IPR009057
b1013	IPR001647
b1013	IPR036271
b1013	IPR019915
b1013	IPR013573
b1014	IPR016161
b1014	IPR016163
b1014	IPR016160
b1014	IPR029510
b1014	IPR016162
b1014	IPR015590
b1014	IPR013321
b1014	IPR025703
b1014	IPR005933
b1014	IPR029041
b1014	IPR041349
b1014	IPR024090
b1014	IPR024089
b1014	IPR024082
b1014	IPR002872
b1014	IPR010985
b1015	IPR038377
b1015	IPR011851
b1015	IPR001734
b1015	IPR018212
b1018	IPR008972
b1018	IPR028096
b1018	IPR018976
b1018	IPR034981
b1018	IPR038352
b1019	IPR011008
b1019	IPR006314
b1019	IPR006313
b1019	IPR006311
b1020	IPR027417
b1020	IPR003714
b1021	IPR023829
b1022	IPR001173
b1022	IPR029044
b1022	IPR023853
b1023	IPR011330
b1023	IPR002509
b1023	IPR023854
b1023	IPR032772
b1024	IPR023870
b1024	IPR013026
b1024	IPR011990
b1024	IPR019734
b1025	IPR000160
b1025	IPR033424
b1025	IPR029787
b1025	IPR043128
b1026	IPR025948
b1026	IPR038965
b1026	IPR001584
b1026	IPR012337
b1026	IPR036397
b1027	IPR009057
b1027	IPR002514
b1028	IPR001227
b1028	IPR016035
b1033	IPR029753
b1033	IPR006140
b1033	IPR023514
b1033	IPR036291
b1034	IPR023710
b1034	IPR004013
b1034	IPR003141
b1034	IPR016195
b1035	IPR026269
b1035	IPR020945
b1035	IPR036411
b1036	IPR009476
b1037	IPR005534
b1038	IPR018893
b1039	IPR018900
b1040	IPR016032
b1040	IPR000792
b1040	IPR036388
b1041	IPR009742
b1042	IPR009742
b1043	IPR014491
b1045	IPR002589
b1045	IPR043472
b1045	IPR024900
b1046	IPR030871
b1046	IPR025202
b1046	IPR001736
b1047	IPR002656
b1047	IPR023723
b1048	IPR011013
b1048	IPR014718
b1048	IPR014438
b1048	IPR007444
b1048	IPR013783
b1048	IPR014756
b1048	IPR023704
b1049	IPR023725
b1049	IPR001173
b1049	IPR029044
b1050	IPR010780
b1051	IPR025729
b1053	IPR011701
b1053	IPR020846
b1053	IPR036259
b1053	IPR023692
b1053	IPR001958
b1054	IPR004960
b1054	IPR011920
b1055	IPR001763
b1055	IPR036873
b1055	IPR022111
b1055	IPR020936
b1055	IPR040503
b1056	IPR007372
b1056	IPR036761
b1056	IPR023480
b1057	IPR011577
b1057	IPR016174
b1058	IPR024494
b1059	IPR006076
b1059	IPR036188
b1059	IPR023493
b1060	IPR025730
b1061	IPR036687
b1061	IPR010391
b1062	IPR006680
b1062	IPR004721
b1062	IPR002195
b1062	IPR032466
b1063	IPR010835
b1064	IPR011767
b1064	IPR007494
b1064	IPR036282
b1064	IPR004045
b1064	IPR011901
b1064	IPR036249
b1065	IPR011701
b1065	IPR020846
b1065	IPR036259
b1065	IPR022855
b1066	IPR016181
b1066	IPR000182
b1067	IPR007432
b1067	IPR036388
b1067	IPR036390
b1068	IPR000683
b1068	IPR036291
b1069	IPR004268
b1070	IPR007809
b1070	IPR036679
b1071	IPR035890
b1071	IPR007412
b1071	IPR031316
b1072	IPR017585
b1072	IPR039246
b1072	IPR013974
b1073	IPR001444
b1073	IPR019776
b1073	IPR006300
b1074	IPR001444
b1074	IPR019776
b1074	IPR010930
b1074	IPR006299
b1075	IPR005648
b1075	IPR025965
b1075	IPR025963
b1076	IPR011491
b1076	IPR037058
b1076	IPR001444
b1076	IPR019776
b1076	IPR020013
b1076	IPR010930
b1076	IPR037925
b1077	IPR001444
b1077	IPR019776
b1077	IPR020013
b1077	IPR010930
b1077	IPR037925
b1078	IPR001444
b1078	IPR019776
b1078	IPR020013
b1078	IPR010930
b1078	IPR037925
b1078	IPR012834
b1079	IPR000527
b1080	IPR001782
b1081	IPR019301
b1081	IPR013377
b1081	IPR002901
b1082	IPR001444
b1082	IPR010930
b1082	IPR002371
b1083	IPR013384
b1083	IPR001029
b1084	IPR012340
b1084	IPR021968
b1084	IPR019307
b1084	IPR028878
b1084	IPR004659
b1084	IPR022967
b1084	IPR003029
b1086	IPR020103
b1086	IPR006225
b1086	IPR006224
b1086	IPR006145
b1086	IPR002942
b1086	IPR036986
b1087	IPR029001
b1087	IPR003697
b1088	IPR003772
b1088	IPR039255
b1089	IPR002677
b1089	IPR011332
b1090	IPR003664
b1090	IPR012281
b1091	IPR013751
b1091	IPR013747
b1091	IPR004655
b1091	IPR016039
b1092	IPR001227
b1092	IPR014043
b1092	IPR016035
b1092	IPR024925
b1092	IPR004410
b1092	IPR016036
b1093	IPR011284
b1093	IPR036291
b1093	IPR020904
b1093	IPR002347
b1094	IPR036736
b1094	IPR003231
b1094	IPR009081
b1094	IPR006162
b1095	IPR017568
b1095	IPR000794
b1095	IPR018201
b1095	IPR014031
b1095	IPR014030
b1095	IPR020841
b1095	IPR016039
b1096	IPR017824
b1096	IPR001544
b1096	IPR018300
b1096	IPR036038
b1096	IPR043132
b1096	IPR043131
b1097	IPR003770
b1098	IPR027417
b1098	IPR039430
b1098	IPR018095
b1098	IPR018094
b1099	IPR008921
b1099	IPR004622
b1099	IPR015199
b1099	IPR027417
b1100	IPR018228
b1100	IPR015991
b1100	IPR032466
b1100	IPR001130
b1101	IPR036878
b1101	IPR018113
b1101	IPR003352
b1101	IPR013013
b1101	IPR001996
b1101	IPR011299
b1101	IPR004719
b1102	IPR012910
b1102	IPR037066
b1102	IPR039423
b1102	IPR000531
b1102	IPR010916
b1102	IPR036942
b1102	IPR010917
b1102	IPR010105
b1103	IPR019808
b1103	IPR001310
b1103	IPR011146
b1103	IPR036265
b1104	IPR010824
b1104	IPR038483
b1105	IPR014094
b1106	IPR002575
b1106	IPR011009
b1106	IPR014093
b1107	IPR022956
b1107	IPR019800
b1107	IPR001764
b1107	IPR036962
b1107	IPR017853
b1108	IPR029058
b1108	IPR022987
b1108	IPR008886
b1109	IPR036188
b1109	IPR023753
b1110	IPR008816
b1111	IPR009057
b1111	IPR001647
b1111	IPR036271
b1112	IPR025543
b1112	IPR010854
b1112	IPR036275
b1113	IPR005490
b1113	IPR041597
b1113	IPR018392
b1113	IPR038063
b1114	IPR036101
b1114	IPR003711
b1114	IPR011545
b1114	IPR014001
b1114	IPR001650
b1114	IPR004576
b1114	IPR027417
b1114	IPR037235
b1114	IPR005118
b1114	IPR041471
b1115	IPR002656
b1116	IPR003838
b1116	IPR011925
b1116	IPR025857
b1117	IPR003593
b1117	IPR003439
b1117	IPR017871
b1117	IPR015854
b1117	IPR011924
b1117	IPR027417
b1118	IPR003838
b1118	IPR011925
b1118	IPR011926
b1118	IPR025857
b1119	IPR043129
b1119	IPR023505
b1119	IPR000600
b1120	IPR029035
b1120	IPR003000
b1120	IPR026591
b1120	IPR027546
b1120	IPR026590
b1120	IPR029035
b1120	IPR003000
b1120	IPR026591
b1120	IPR027546
b1120	IPR026590
b1121	IPR007621
b1122	IPR021994
b1123	IPR006059
b1123	IPR001188
b1124	IPR000515
b1124	IPR035906
b1125	IPR000515
b1125	IPR035906
b1126	IPR003593
b1126	IPR017879
b1126	IPR003439
b1126	IPR017871
b1126	IPR008995
b1126	IPR027417
b1126	IPR005893
b1126	IPR013611
b1127	IPR001261
b1127	IPR036264
b1127	IPR002933
b1127	IPR011650
b1127	IPR010161
b1128	IPR003347
b1128	IPR039994
b1129	IPR003660
b1129	IPR003594
b1129	IPR036890
b1129	IPR005467
b1129	IPR036097
b1129	IPR015014
b1129	IPR038429
b1129	IPR004358
b1130	IPR011006
b1130	IPR001867
b1130	IPR001789
b1130	IPR039420
b1130	IPR036388
b1131	IPR024083
b1131	IPR020557
b1131	IPR000362
b1131	IPR022761
b1131	IPR008948
b1131	IPR004769
b1131	IPR013539
b1132	IPR007451
b1132	IPR035932
b1133	IPR023382
b1133	IPR014729
b1133	IPR004506
b1134	IPR020476
b1134	IPR015797
b1134	IPR020084
b1134	IPR000086
b1134	IPR033713
b1135	IPR042092
b1135	IPR020103
b1135	IPR006145
b1135	IPR000748
b1135	IPR018496
b1136	IPR019818
b1136	IPR004439
b1136	IPR024084
b1137	IPR013217
b1137	IPR029063
b1139	IPR019504
b1140	IPR044068
b1140	IPR016177
b1140	IPR011010
b1140	IPR013762
b1140	IPR002104
b1140	IPR015094
b1140	IPR010998
b1141	IPR009061
b1141	IPR012884
b1141	IPR038137
b1145	IPR039418
b1145	IPR036286
b1145	IPR015927
b1146	IPR010982
b1146	IPR031856
b1149	IPR005021
b1149	IPR036388
b1149	IPR036390
b1151	IPR006944
b1152	IPR006949
b1153	IPR018755
b1155	IPR003458
b1156	IPR003458
b1157	IPR011083
b1157	IPR037053
b1158	IPR009057
b1158	IPR006118
b1158	IPR006119
b1158	IPR036162
b1158	IPR006120
b1159	IPR002711
b1159	IPR003615
b1161	IPR009833
b1161	IPR036696
b1162	IPR009061
b1162	IPR000551
b1163	IPR036046
b1163	IPR007024
b1163	IPR001633
b1163	IPR035919
b1164	IPR024753
b1166	IPR024753
b1168	IPR024744
b1168	IPR001633
b1168	IPR035919
b1171	IPR032497
b1171	IPR038304
b1172	IPR025693
b1172	IPR022833
b1174	IPR005527
b1174	IPR036707
b1175	IPR002586
b1175	IPR010223
b1175	IPR025501
b1175	IPR027417
b1176	IPR016098
b1176	IPR013033
b1176	IPR036145
b1176	IPR007874
b1176	IPR038061
b1176	IPR005526
b1177	IPR008617
b1178	IPR007280
b1179	IPR038068
b1179	IPR027354
b1180	IPR011234
b1180	IPR036663
b1181	IPR005358
b1181	IPR008228
b1182	IPR027018
b1183	IPR039418
b1183	IPR036286
b1183	IPR006197
b1183	IPR015927
b1184	IPR043502
b1184	IPR036775
b1184	IPR017961
b1184	IPR025188
b1184	IPR024728
b1184	IPR043128
b1184	IPR001126
b1185	IPR003752
b1185	IPR022920
b1185	IPR023380
b1186	IPR004671
b1187	IPR014178
b1187	IPR028374
b1187	IPR008920
b1187	IPR000524
b1187	IPR036388
b1187	IPR036390
b1188	IPR007390
b1189	IPR023080
b1189	IPR006076
b1189	IPR036188
b1190	IPR000821
b1190	IPR009006
b1190	IPR011079
b1190	IPR001608
b1190	IPR020622
b1190	IPR029066
b1191	IPR006153
b1191	IPR036318
b1191	IPR016169
b1191	IPR030151
b1191	IPR023729
b1191	IPR006037
b1191	IPR036721
b1191	IPR005170
b1192	IPR027461
b1192	IPR029062
b1192	IPR027478
b1192	IPR040449
b1192	IPR040921
b1192	IPR003507
b1193	IPR023946
b1193	IPR023346
b1193	IPR000189
b1193	IPR008258
b1194	IPR009875
b1194	IPR023787
b1194	IPR009926
b1195	IPR007341
b1197	IPR008928
b1197	IPR012341
b1197	IPR001661
b1197	IPR018232
b1197	IPR023720
b1198	IPR039643
b1198	IPR012844
b1198	IPR000032
b1198	IPR035895
b1198	IPR008279
b1198	IPR036637
b1198	IPR004701
b1198	IPR036662
b1198	IPR008731
b1198	IPR001020
b1198	IPR036618
b1199	IPR012737
b1199	IPR004007
b1199	IPR036117
b1200	IPR012736
b1200	IPR004006
b1201	IPR003593
b1201	IPR029016
b1201	IPR009057
b1201	IPR002197
b1201	IPR027417
b1201	IPR000014
b1201	IPR035965
b1201	IPR013767
b1201	IPR002078
b1201	IPR025662
b1201	IPR025943
b1202	IPR005546
b1202	IPR036709
b1202	IPR006315
b1202	IPR011050
b1202	IPR004899
b1202	IPR003991
b1203	IPR004396
b1203	IPR012675
b1203	IPR031167
b1203	IPR006073
b1203	IPR027417
b1203	IPR004095
b1203	IPR012676
b1203	IPR023192
b1203	IPR013029
b1203	IPR041706
b1204	IPR001328
b1204	IPR018171
b1204	IPR036416
b1205	IPR019698
b1206	IPR018045
b1206	IPR011547
b1206	IPR001902
b1206	IPR002645
b1206	IPR036513
b1207	IPR000842
b1207	IPR029099
b1207	IPR000836
b1207	IPR029057
b1207	IPR005946
b1207	IPR037515
b1208	IPR013750
b1208	IPR036554
b1208	IPR006204
b1208	IPR004424
b1208	IPR020568
b1208	IPR014721
b1209	IPR029046
b1209	IPR004565
b1210	IPR000343
b1210	IPR015896
b1210	IPR015895
b1210	IPR018214
b1210	IPR036453
b1210	IPR036343
b1210	IPR036291
b1210	IPR006151
b1211	IPR005139
b1211	IPR000352
b1211	IPR004373
b1212	IPR002052
b1212	IPR004556
b1212	IPR025714
b1212	IPR040758
b1212	IPR019874
b1212	IPR029063
b1213	IPR007360
b1214	IPR032698
b1215	IPR013785
b1215	IPR006218
b1215	IPR006269
b1216	IPR004713
b1216	IPR004837
b1217	IPR009317
b1217	IPR037205
b1218	IPR006840
b1218	IPR013024
b1218	IPR036568
b1219	IPR027396
b1219	IPR003787
b1220	IPR024519
b1220	IPR038177
b1221	IPR011006
b1221	IPR016032
b1221	IPR001789
b1221	IPR000792
b1221	IPR036388
b1222	IPR003660
b1222	IPR003594
b1222	IPR036890
b1222	IPR005467
b1222	IPR029095
b1222	IPR042295
b1222	IPR016380
b1222	IPR011712
b1223	IPR011701
b1223	IPR036259
b1223	IPR004737
b1224	IPR009010
b1224	IPR037943
b1224	IPR006657
b1224	IPR006656
b1224	IPR006963
b1224	IPR006655
b1224	IPR027467
b1224	IPR006468
b1224	IPR028189
b1225	IPR017896
b1225	IPR029263
b1225	IPR038262
b1225	IPR006547
b1226	IPR020945
b1226	IPR042290
b1226	IPR042291
b1226	IPR003765
b1226	IPR036411
b1227	IPR023234
b1227	IPR036197
b1227	IPR003816
b1232	IPR002912
b1232	IPR041729
b1232	IPR002376
b1232	IPR036477
b1232	IPR004810
b1232	IPR044074
b1233	IPR032710
b1233	IPR004027
b1233	IPR023006
b1234	IPR016035
b1234	IPR001423
b1234	IPR002641
b1235	IPR011006
b1235	IPR036457
b1235	IPR028616
b1235	IPR001789
b1236	IPR005771
b1236	IPR005835
b1236	IPR029044
b1237	IPR027444
b1237	IPR037150
b1237	IPR001801
b1237	IPR027454
b1238	IPR027417
b1238	IPR001267
b1238	IPR020633
b1241	IPR034789
b1241	IPR001670
b1241	IPR018211
b1241	IPR039697
b1241	IPR016161
b1241	IPR016163
b1241	IPR016162
b1241	IPR015590
b1241	IPR012079
b1242	IPR002771
b1243	IPR030678
b1243	IPR039424
b1243	IPR023765
b1243	IPR000914
b1244	IPR000515
b1244	IPR035906
b1245	IPR000515
b1245	IPR035906
b1245	IPR025966
b1246	IPR003593
b1246	IPR003439
b1246	IPR017871
b1246	IPR013563
b1246	IPR027417
b1247	IPR003593
b1247	IPR003439
b1247	IPR017871
b1247	IPR013563
b1247	IPR027417
b1248	IPR007376
b1248	IPR036763
b1249	IPR022924
b1249	IPR030840
b1249	IPR027379
b1249	IPR025202
b1249	IPR001736
b1250	IPR013099
b1250	IPR036291
b1250	IPR003148
b1251	IPR011008
b1251	IPR005545
b1252	IPR003538
b1252	IPR006260
b1252	IPR037682
b1253	IPR040170
b1253	IPR033120
b1253	IPR029069
b1253	IPR006683
b1254	IPR006008
b1255	IPR009627
b1256	IPR011250
b1256	IPR005618
b1257	IPR010287
b1257	IPR012347
b1257	IPR009078
b1258	IPR010287
b1258	IPR012347
b1258	IPR009078
b1259	IPR019626
b1260	IPR013785
b1260	IPR011060
b1260	IPR018204
b1260	IPR002028
b1261	IPR001926
b1261	IPR006653
b1261	IPR006654
b1261	IPR023026
b1261	IPR036052
b1262	IPR013785
b1262	IPR013798
b1262	IPR001468
b1262	IPR001240
b1262	IPR011060
b1263	IPR005940
b1263	IPR029062
b1263	IPR017926
b1263	IPR000312
b1263	IPR017459
b1263	IPR036320
b1263	IPR035902
b1263	IPR006221
b1264	IPR005801
b1264	IPR019999
b1264	IPR006805
b1264	IPR005257
b1264	IPR015890
b1265	IPR013205
b1266	IPR004013
b1266	IPR003141
b1266	IPR016195
b1267	IPR017945
b1267	IPR006070
b1268	IPR018702
b1269	IPR020103
b1269	IPR006145
b1269	IPR000748
b1269	IPR018496
b1269	IPR002942
b1269	IPR036986
b1270	IPR003724
b1270	IPR025826
b1270	IPR027417
b1271	IPR036291
b1271	IPR020904
b1271	IPR002347
b1272	IPR029045
b1272	IPR002142
b1272	IPR013703
b1273	IPR019633
b1273	IPR038191
b1274	IPR000380
b1274	IPR003601
b1274	IPR023406
b1274	IPR013497
b1274	IPR013824
b1274	IPR013825
b1274	IPR013826
b1274	IPR023405
b1274	IPR003602
b1274	IPR013498
b1274	IPR005733
b1274	IPR013263
b1274	IPR028612
b1274	IPR006171
b1274	IPR034149
b1275	IPR005119
b1275	IPR000847
b1275	IPR036388
b1275	IPR036390
b1276	IPR044137
b1276	IPR015931
b1276	IPR001030
b1276	IPR015928
b1276	IPR006249
b1276	IPR018136
b1276	IPR036008
b1276	IPR000573
b1277	IPR032677
b1277	IPR000926
b1277	IPR036144
b1278	IPR036938
b1278	IPR000326
b1279	IPR032906
b1279	IPR010445
b1280	IPR030865
b1280	IPR041166
b1280	IPR013026
b1280	IPR011990
b1280	IPR019734
b1281	IPR013785
b1281	IPR014732
b1281	IPR018089
b1281	IPR001754
b1281	IPR011060
b1282	IPR001950
b1282	IPR005872
b1282	IPR036877
b1283	IPR008816
b1284	IPR014036
b1284	IPR001034
b1284	IPR037171
b1284	IPR018356
b1284	IPR036388
b1284	IPR036390
b1285	IPR001633
b1285	IPR035919
b1285	IPR000160
b1285	IPR029787
b1285	IPR000014
b1285	IPR035965
b1285	IPR043128
b1286	IPR011129
b1286	IPR040476
b1286	IPR012340
b1286	IPR013223
b1286	IPR011804
b1286	IPR001900
b1286	IPR022966
b1286	IPR004476
b1286	IPR003029
b1287	IPR029032
b1288	IPR014358
b1288	IPR036291
b1288	IPR002347
b1289	IPR007569
b1289	IPR011335
b1290	IPR003593
b1290	IPR003439
b1290	IPR017871
b1290	IPR027417
b1291	IPR003593
b1291	IPR003439
b1291	IPR013563
b1291	IPR027417
b1292	IPR000515
b1292	IPR035906
b1292	IPR025966
b1293	IPR000515
b1293	IPR035906
b1294	IPR030678
b1294	IPR039424
b1294	IPR023765
b1294	IPR000914
b1295	IPR020251
b1296	IPR004841
b1297	IPR036651
b1297	IPR014746
b1297	IPR008146
b1297	IPR027303
b1298	IPR029062
b1298	IPR017926
b1298	IPR011697
b1298	IPR044668
b1299	IPR001387
b1299	IPR013096
b1299	IPR010982
b1299	IPR014710
b1299	IPR011051
b1300	IPR016161
b1300	IPR016163
b1300	IPR016160
b1300	IPR029510
b1300	IPR016162
b1300	IPR015590
b1301	IPR006076
b1301	IPR036188
b1302	IPR004632
b1302	IPR005814
b1302	IPR015424
b1302	IPR015422
b1302	IPR015421
b1303	IPR003593
b1303	IPR009057
b1303	IPR002197
b1303	IPR027417
b1303	IPR002078
b1303	IPR025943
b1303	IPR025944
b1303	IPR014317
b1304	IPR014319
b1304	IPR007157
b1305	IPR009554
b1306	IPR014320
b1306	IPR007168
b1307	IPR014321
b1308	IPR014323
b1308	IPR001763
b1308	IPR036873
b1309	IPR033746
b1309	IPR006047
b1309	IPR017853
b1309	IPR016377
b1310	IPR006059
b1311	IPR000515
b1311	IPR035906
b1312	IPR000515
b1312	IPR035906
b1313	IPR013149
b1313	IPR011032
b1313	IPR036291
b1314	IPR036237
b1314	IPR013022
b1315	IPR004104
b1315	IPR000683
b1315	IPR036291
b1316	IPR008928
b1316	IPR012341
b1316	IPR011013
b1316	IPR005194
b1316	IPR005195
b1316	IPR005196
b1316	IPR037018
b1316	IPR017045
b1317	IPR010976
b1317	IPR010972
b1317	IPR036412
b1317	IPR006439
b1317	IPR041492
b1317	IPR023214
b1317	IPR023198
b1319	IPR018981
b1320	IPR000843
b1320	IPR010982
b1320	IPR001761
b1320	IPR028082
b1321	IPR007413
b1322	IPR021147
b1322	IPR006507
b1323	IPR003593
b1323	IPR002912
b1323	IPR009057
b1323	IPR030828
b1323	IPR027417
b1323	IPR000014
b1323	IPR035965
b1323	IPR002078
b1323	IPR025662
b1323	IPR025943
b1323	IPR025944
b1324	IPR013740
b1324	IPR036249
b1324	IPR013766
b1324	IPR002065
b1324	IPR018219
b1325	IPR034603
b1325	IPR036849
b1325	IPR029017
b1325	IPR029065
b1325	IPR018110
b1325	IPR013342
b1325	IPR034593
b1325	IPR013341
b1326	IPR043691
b1326	IPR000834
b1327	IPR029058
b1327	IPR022742
b1328	IPR005119
b1328	IPR000847
b1328	IPR036388
b1328	IPR036390
b1329	IPR030678
b1329	IPR039424
b1329	IPR023765
b1329	IPR000914
b1330	IPR010920
b1330	IPR006685
b1330	IPR011066
b1330	IPR006686
b1330	IPR011014
b1330	IPR023408
b1331	IPR002559
b1331	IPR008490
b1332	IPR019685
b1333	IPR006016
b1334	IPR018490
b1334	IPR000595
b1334	IPR012318
b1334	IPR014710
b1334	IPR018335
b1334	IPR036388
b1334	IPR036390
b1335	IPR001497
b1335	IPR014048
b1335	IPR036217
b1335	IPR008332
b1335	IPR023546
b1335	IPR036631
b1335	IPR036388
b1336	IPR004697
b1336	IPR011540
b1337	IPR017439
b1337	IPR017145
b1337	IPR036264
b1337	IPR002933
b1338	IPR033845
b1338	IPR017439
b1338	IPR036264
b1338	IPR002933
b1338	IPR011650
b1339	IPR005119
b1339	IPR000847
b1339	IPR036388
b1339	IPR036390
b1340	IPR002625
b1340	IPR036063
b1341	IPR000160
b1341	IPR029787
b1341	IPR000014
b1341	IPR000700
b1341	IPR035965
b1341	IPR013656
b1341	IPR043128
b1342	IPR002523
b1342	IPR023714
b1343	IPR005580
b1343	IPR011545
b1343	IPR028619
b1343	IPR014001
b1343	IPR001650
b1343	IPR012677
b1343	IPR027417
b1343	IPR000629
b1343	IPR014014
b1344	IPR014729
b1344	IPR011063
b1344	IPR012089
b1344	IPR035107
b1345	IPR044068
b1345	IPR011010
b1345	IPR013762
b1345	IPR002104
b1345	IPR010998
