bnumber,keyword
b0800,Glycosyltransferase
b0800,Reference proteome
b0800,Transferase
b0801,3D-structure
b0801,NAD
b0801,NADP
b0801,Oxidoreductase
b0801,Reference proteome
b0802,Periplasm
b0802,Reference proteome
b0802,Signal
b0803,3D-structure
b0803,Metal-binding
b0803,Reference proteome
b0803,Zinc
b0803,Zinc-finger
b0804,Dioxygenase
b0804,Iron
b0804,Metal-binding
b0804,Oxidoreductase
b0804,Reference proteome
b0804,Vitamin C
b0805,3D-structure
b0805,Cell outer membrane
b0805,Ion transport
b0805,Iron
b0805,Iron transport
b0805,Membrane
b0805,Receptor
b0805,Reference proteome
b0805,Signal
b0805,TonB box
b0805,Transmembrane
b0805,Transmembrane beta strand
b0805,Transport
b0806,Periplasm
b0806,Reference proteome
b0806,Signal
b0807,Cytoplasm
b0807,Methyltransferase
b0807,Reference proteome
b0807,S-adenosyl-L-methionine
b0807,Transferase
b0807,rRNA processing
b0808,Cell inner membrane
b0808,Cell membrane
b0808,Ion channel
b0808,Ion transport
b0808,Membrane
b0808,Reference proteome
b0808,Signal
b0808,Transmembrane
b0808,Transmembrane helix
b0808,Transport
b0809,ATP-binding
b0809,Amino-acid transport
b0809,Cell inner membrane
b0809,Cell membrane
b0809,Membrane
b0809,Nucleotide-binding
b0809,Reference proteome
b0809,Transport
b0810,Amino-acid transport
b0810,Cell inner membrane
b0810,Cell membrane
b0810,Membrane
b0810,Reference proteome
b0810,Transmembrane
b0810,Transmembrane helix
b0810,Transport
b0811,3D-structure
b0811,Amino-acid transport
b0811,Direct protein sequencing
b0811,Periplasm
b0811,Reference proteome
b0811,Signal
b0811,Transport
b0812,3D-structure
b0812,Cytoplasm
b0812,DNA condensation
b0812,DNA-binding
b0812,Direct protein sequencing
b0812,Iron
b0812,Iron storage
b0812,Metal-binding
b0812,Oxidoreductase
b0812,Reference proteome
b0813,Amino-acid transport
b0813,Cell inner membrane
b0813,Cell membrane
b0813,Membrane
b0813,Reference proteome
b0813,Repeat
b0813,Transmembrane
b0813,Transmembrane helix
b0813,Transport
b0814,3D-structure
b0814,Cell outer membrane
b0814,Direct protein sequencing
b0814,Membrane
b0814,Reference proteome
b0814,Signal
b0814,Transmembrane
b0814,Transmembrane beta strand
b0815,Cell inner membrane
b0815,Cell membrane
b0815,Membrane
b0815,Reference proteome
b0815,Transferase
b0815,Transmembrane
b0815,Transmembrane helix
b0817,3D-structure
b0817,Activator
b0817,Cytoplasm
b0817,DNA-binding
b0817,Manganese
b0817,Reference proteome
b0817,Repressor
b0817,Transcription
b0817,Transcription regulation
b0818,Cell inner membrane
b0818,Cell membrane
b0818,Membrane
b0818,Reference proteome
b0818,Transmembrane
b0818,Transmembrane helix
b0818,Transport
b0819,Cell shape
b0819,Cell wall biogenesis/degradation
b0819,Direct protein sequencing
b0819,Glycosyltransferase
b0819,Hydrolase
b0819,Peptidoglycan synthesis
b0819,Periplasm
b0819,Reference proteome
b0819,Signal
b0819,Transferase
b0820,ATP-binding
b0820,Nucleotide-binding
b0820,Reference proteome
b0820,Repeat
b0821,3D-structure
b0821,Reference proteome
b0822,3D-structure
b0822,Hydrolase
b0822,Magnesium
b0822,Metal-binding
b0822,Reference proteome
b0823,Lyase
b0823,Organic radical
b0823,Reference proteome
b0824,4Fe-4S
b0824,Cytoplasm
b0824,Iron
b0824,Iron-sulfur
b0824,Metal-binding
b0824,Oxidoreductase
b0824,Reference proteome
b0824,S-adenosyl-L-methionine
b0825,3D-structure
b0825,Carbohydrate metabolism
b0825,Cytoplasm
b0825,Direct protein sequencing
b0825,Lyase
b0825,Reference proteome
b0825,Schiff base
b0826,3D-structure
b0826,ATP-binding
b0826,Metal-binding
b0826,Molybdenum cofactor biosynthesis
b0826,Nucleotide-binding
b0826,Nucleotidyltransferase
b0826,Reference proteome
b0826,Transferase
b0826,Zinc
b0827,3D-structure
b0827,Magnesium
b0827,Metal-binding
b0827,Molybdenum
b0827,Molybdenum cofactor biosynthesis
b0827,Reference proteome
b0827,Transferase
b0828,3D-structure
b0828,Autocatalytic cleavage
b0828,Direct protein sequencing
b0828,Hydrolase
b0828,Protease
b0828,Reference proteome
b0829,ATP-binding
b0829,Cell inner membrane
b0829,Cell membrane
b0829,Hydrolase
b0829,Membrane
b0829,Nucleotide-binding
b0829,Reference proteome
b0829,Repeat
b0829,Translocase
b0829,Transport
b0830,3D-structure
b0830,Periplasm
b0830,Reference proteome
b0830,Signal
b0830,Transport
b0831,Cell inner membrane
b0831,Cell membrane
b0831,Membrane
b0831,Reference proteome
b0831,Transmembrane
b0831,Transmembrane helix
b0831,Transport
b0832,Cell inner membrane
b0832,Cell membrane
b0832,Membrane
b0832,Reference proteome
b0832,Transmembrane
b0832,Transmembrane helix
b0832,Transport
b0833,Cell membrane
b0833,Hydrolase
b0833,Membrane
b0833,Reference proteome
b0833,Transmembrane
b0833,Transmembrane helix
b0833,c-di-GMP
b0834,Cell membrane
b0834,GTP-binding
b0834,Lipoprotein
b0834,Magnesium
b0834,Membrane
b0834,Metal-binding
b0834,Nucleotide-binding
b0834,Palmitate
b0834,Reference proteome
b0834,Signal
b0834,Transferase
b0834,Transmembrane
b0834,Transmembrane helix
b0835,4Fe-4S
b0835,Cytoplasm
b0835,Iron
b0835,Iron-sulfur
b0835,Metal-binding
b0835,Reference proteome
b0835,S-adenosyl-L-methionine
b0835,Transferase
b0836,Reference proteome
b0837,3D-structure
b0837,Calcium
b0837,Cell outer membrane
b0837,Membrane
b0837,Metal-binding
b0837,Oxidoreductase
b0837,PQQ
b0837,Reference proteome
b0837,Signal
b0838,Reference proteome
b0838,Transferase
b0839,3D-structure
b0839,Carboxypeptidase
b0839,Cell inner membrane
b0839,Cell membrane
b0839,Cell shape
b0839,Cell wall biogenesis/degradation
b0839,Direct protein sequencing
b0839,Hydrolase
b0839,Membrane
b0839,Peptidoglycan synthesis
b0839,Protease
b0839,Reference proteome
b0839,Signal
b0840,DNA-binding
b0840,Reference proteome
b0840,Repressor
b0840,Transcription
b0840,Transcription regulation
b0841,Antibiotic resistance
b0841,Cell inner membrane
b0841,Cell membrane
b0841,Cell shape
b0841,Cell wall biogenesis/degradation
b0841,Hydrolase
b0841,Membrane
b0841,Peptidoglycan synthesis
b0841,Reference proteome
b0841,Transmembrane
b0841,Transmembrane helix
b0842,3D-structure
b0842,Antibiotic resistance
b0842,Cell inner membrane
b0842,Cell membrane
b0842,Membrane
b0842,Reference proteome
b0842,Transmembrane
b0842,Transmembrane helix
b0842,Transport
b0843,Reference proteome
b0843,Signal
b0844,Hydrolase
b0844,Magnesium
b0844,Metal-binding
b0844,Reference proteome
b0845,Cell inner membrane
b0845,Cell membrane
b0845,Membrane
b0845,Reference proteome
b0845,Transmembrane
b0845,Transmembrane helix
b0846,3D-structure
b0846,DNA-binding
b0846,Reference proteome
b0846,Transcription
b0846,Transcription regulation
b0847,Cell membrane
b0847,Membrane
b0847,Reference proteome
b0847,Repeat
b0847,Transmembrane
b0847,Transmembrane helix
b0847,Transport
b0848,Cell inner membrane
b0848,Cell membrane
b0848,Membrane
b0848,Reference proteome
b0848,Transmembrane
b0848,Transmembrane helix
b0849,3D-structure
b0849,Deoxyribonucleotide synthesis
b0849,Direct protein sequencing
b0849,Disulfide bond
b0849,Electron transport
b0849,Nucleotide-binding
b0849,Phosphoprotein
b0849,Redox-active center
b0849,Reference proteome
b0849,Transport
b0850,Reference proteome
b0851,3D-structure
b0851,FMN
b0851,Flavoprotein
b0851,NADP
b0851,Oxidoreductase
b0851,Reference proteome
b0852,3D-structure
b0852,ATP-binding
b0852,Ligase
b0852,Magnesium
b0852,Manganese
b0852,Metal-binding
b0852,Nucleotide-binding
b0852,Protein biosynthesis
b0852,Reference proteome
b0853,Reference proteome
b0854,3D-structure
b0854,Direct protein sequencing
b0854,Disulfide bond
b0854,Periplasm
b0854,Reference proteome
b0854,Signal
b0854,Transport
b0855,ATP-binding
b0855,Cell inner membrane
b0855,Cell membrane
b0855,Membrane
b0855,Nucleotide-binding
b0855,Reference proteome
b0855,Translocase
b0855,Transport
b0856,Cell inner membrane
b0856,Cell membrane
b0856,Membrane
b0856,Reference proteome
b0856,Transmembrane
b0856,Transmembrane helix
b0856,Transport
b0857,Cell inner membrane
b0857,Cell membrane
b0857,Membrane
b0857,Reference proteome
b0857,Transmembrane
b0857,Transmembrane helix
b0857,Transport
b0858,Cell inner membrane
b0858,Cell membrane
b0858,Membrane
b0858,Reference proteome
b0858,Transmembrane
b0858,Transmembrane helix
b0859,4Fe-4S
b0859,Iron
b0859,Iron-sulfur
b0859,Metal-binding
b0859,Methyltransferase
b0859,Reference proteome
b0859,S-adenosyl-L-methionine
b0859,Transferase
b0859,rRNA processing
b0860,Amino-acid transport
b0860,Direct protein sequencing
b0860,Periplasm
b0860,Reference proteome
b0860,Signal
b0860,Transport
b0861,Amino-acid transport
b0861,Cell inner membrane
b0861,Cell membrane
b0861,Membrane
b0861,Reference proteome
b0861,Transmembrane
b0861,Transmembrane helix
b0861,Transport
b0862,Amino-acid transport
b0862,Cell inner membrane
b0862,Cell membrane
b0862,Membrane
b0862,Reference proteome
b0862,Transmembrane
b0862,Transmembrane helix
b0862,Transport
b0863,Amino-acid transport
b0863,Direct protein sequencing
b0863,Periplasm
b0863,Reference proteome
b0863,Signal
b0863,Transport
b0864,ATP-binding
b0864,Amino-acid transport
b0864,Cell inner membrane
b0864,Cell membrane
b0864,Membrane
b0864,Nucleotide-binding
b0864,Reference proteome
b0864,Translocase
b0864,Transport
b0865,Cell membrane
b0865,Lipoprotein
b0865,Membrane
b0865,Palmitate
b0865,Reference proteome
b0865,Signal
b0866,Reference proteome
b0867,3D-structure
b0867,Cell outer membrane
b0867,Cell wall biogenesis/degradation
b0867,Hydrolase
b0867,Lipoprotein
b0867,Membrane
b0867,Metal-binding
b0867,Palmitate
b0867,Reference proteome
b0867,Signal
b0867,Zinc
b0868,Reference proteome
b0869,Cell inner membrane
b0869,Cell membrane
b0869,Membrane
b0869,Reference proteome
b0869,Transmembrane
b0869,Transmembrane helix
b0870,3D-structure
b0870,Direct protein sequencing
b0870,Lyase
b0870,Pyridoxal phosphate
b0870,Reference proteome
b0871,3D-structure
b0871,Cell inner membrane
b0871,Cell membrane
b0871,Direct protein sequencing
b0871,FAD
b0871,Flavoprotein
b0871,Lipid-binding
b0871,Magnesium
b0871,Membrane
b0871,Metal-binding
b0871,Nucleotide-binding
b0871,Oxidoreductase
b0871,Pyruvate
b0871,Reference proteome
b0871,Thiamine pyrophosphate
b0871,Ubiquinone
b0872,2Fe-2S
b0872,Electron transport
b0872,FAD
b0872,Flavoprotein
b0872,Iron
b0872,Iron-sulfur
b0872,Metal-binding
b0872,NAD
b0872,Oxidoreductase
b0872,Reference proteome
b0872,Transport
b0873,2Fe-2S
b0873,Cytoplasm
b0873,Iron
b0873,Iron-sulfur
b0873,Metal-binding
b0873,Oxidoreductase
b0873,Reference proteome
b0874,Amino-acid transport
b0874,Cell inner membrane
b0874,Cell membrane
b0874,Membrane
b0874,Reference proteome
b0874,Transmembrane
b0874,Transmembrane helix
b0874,Transport
b0875,3D-structure
b0875,Cell inner membrane
b0875,Cell membrane
b0875,Membrane
b0875,Reference proteome
b0875,Repeat
b0875,Transmembrane
b0875,Transmembrane helix
b0875,Transport
b0876,ATP-binding
b0876,Nucleotide-binding
b0876,Reference proteome
b0877,Reference proteome
b0878,3D-structure
b0878,Antibiotic resistance
b0878,Cell inner membrane
b0878,Cell membrane
b0878,Coiled coil
b0878,Direct protein sequencing
b0878,Membrane
b0878,Reference proteome
b0878,Transmembrane
b0878,Transmembrane helix
b0878,Transport
b0879,3D-structure
b0879,ATP-binding
b0879,Antibiotic resistance
b0879,Cell inner membrane
b0879,Cell membrane
b0879,Membrane
b0879,Nucleotide-binding
b0879,Reference proteome
b0879,Translocase
b0879,Transmembrane
b0879,Transmembrane helix
b0879,Transport
b0880,Cytoplasm
b0880,DNA replication inhibitor
b0880,DNA-binding
b0880,Direct protein sequencing
b0880,RNA-binding
b0880,Reference proteome
b0880,Toxin
b0881,3D-structure
b0881,Reference proteome
b0882,3D-structure
b0882,ATP-binding
b0882,Chaperone
b0882,Direct protein sequencing
b0882,Nucleotide-binding
b0882,Reference proteome
b0882,Repeat
b0884,3D-structure
b0884,Cytoplasm
b0884,Direct protein sequencing
b0884,Initiation factor
b0884,Protein biosynthesis
b0884,RNA-binding
b0884,Reference proteome
b0884,rRNA-binding
b0885,3D-structure
b0885,Acyltransferase
b0885,Cytoplasm
b0885,Reference proteome
b0885,Transferase
b0886,ATP-binding
b0886,Cell inner membrane
b0886,Cell membrane
b0886,Membrane
b0886,Nucleotide-binding
b0886,Reference proteome
b0886,Transmembrane
b0886,Transmembrane helix
b0886,Transport
b0887,ATP-binding
b0887,Cell inner membrane
b0887,Cell membrane
b0887,Membrane
b0887,Nucleotide-binding
b0887,Reference proteome
b0887,Transmembrane
b0887,Transmembrane helix
b0887,Transport
b0888,3D-structure
b0888,Cytoplasm
b0888,Direct protein sequencing
b0888,Disulfide bond
b0888,FAD
b0888,Flavoprotein
b0888,NADP
b0888,Oxidoreductase
b0888,Redox-active center
b0888,Reference proteome
b0889,3D-structure
b0889,Activator
b0889,DNA-binding
b0889,Direct protein sequencing
b0889,Reference proteome
b0889,Transcription
b0889,Transcription regulation
b0890,3D-structure
b0890,ATP-binding
b0890,Cell cycle
b0890,Cell division
b0890,Cell inner membrane
b0890,Cell membrane
b0890,Chromosome partition
b0890,DNA-binding
b0890,Membrane
b0890,Nucleotide-binding
b0890,Reference proteome
b0890,Transmembrane
b0890,Transmembrane helix
b0891,3D-structure
b0891,Chaperone
b0891,Direct protein sequencing
b0891,Periplasm
b0891,Protein transport
b0891,Reference proteome
b0891,Signal
b0891,Transport
b0892,3D-structure
b0892,ATP-binding
b0892,DNA replication
b0892,Nucleotide-binding
b0892,Reference proteome
b0893,3D-structure
b0893,ATP-binding
b0893,Aminoacyl-tRNA synthetase
b0893,Cytoplasm
b0893,Ligase
b0893,Nucleotide-binding
b0893,Protein biosynthesis
b0893,Reference proteome
b0894,4Fe-4S
b0894,Cell membrane
b0894,Direct protein sequencing
b0894,Iron
b0894,Iron-sulfur
b0894,Membrane
b0894,Metal-binding
b0894,Molybdenum
b0894,Oxidoreductase
b0894,Reference proteome
b0894,Signal
b0895,4Fe-4S
b0895,Direct protein sequencing
b0895,Electron transport
b0895,Iron
b0895,Iron-sulfur
b0895,Metal-binding
b0895,Reference proteome
b0895,Repeat
b0895,Transport
b0896,Cell inner membrane
b0896,Cell membrane
b0896,Membrane
b0896,Oxidoreductase
b0896,Reference proteome
b0896,Transmembrane
b0896,Transmembrane helix
b0897,3D-structure
b0897,Hydrolase
b0897,Lyase
b0897,Reference proteome
b0898,Cell inner membrane
b0898,Cell membrane
b0898,Membrane
b0898,Reference proteome
b0898,Transmembrane
b0898,Transmembrane helix
b0898,Transport
b0899,Cell inner membrane
b0899,Cell membrane
b0899,Membrane
b0899,Reference proteome
b0899,Transmembrane
b0899,Transmembrane helix
b0899,Transport
b0900,DNA-binding
b0900,Reference proteome
b0900,Transcription
b0900,Transcription regulation
b0901,Oxidoreductase
b0901,Reference proteome
b0902,3D-structure
b0902,4Fe-4S
b0902,Carbohydrate metabolism
b0902,Cytoplasm
b0902,Direct protein sequencing
b0902,Glucose metabolism
b0902,Iron
b0902,Iron-sulfur
b0902,Metal-binding
b0902,Oxidoreductase
b0902,Reference proteome
b0902,S-adenosyl-L-methionine
b0903,3D-structure
b0903,Acetylation
b0903,Acyltransferase
b0903,Carbohydrate metabolism
b0903,Cytoplasm
b0903,Direct protein sequencing
b0903,Glucose metabolism
b0903,Organic radical
b0903,Reference proteome
b0903,Transferase
b0904,Cell inner membrane
b0904,Cell membrane
b0904,Membrane
b0904,Reference proteome
b0904,Transmembrane
b0904,Transmembrane helix
b0904,Transport
b0905,3D-structure
b0905,Reference proteome
b0906,Cell membrane
b0906,Membrane
b0906,Reference proteome
b0906,Transmembrane
b0906,Transmembrane helix
b0907,3D-structure
b0907,Amino-acid biosynthesis
b0907,Aminotransferase
b0907,Cytoplasm
b0907,Direct protein sequencing
b0907,Pyridoxal phosphate
b0907,Pyridoxine biosynthesis
b0907,Reference proteome
b0907,Serine biosynthesis
b0907,Transferase
b0908,3D-structure
b0908,Amino-acid biosynthesis
b0908,Aromatic amino acid biosynthesis
b0908,Cytoplasm
b0908,Reference proteome
b0908,Transferase
b0909,Cell inner membrane
b0909,Cell membrane
b0909,Hydrolase
b0909,Lipoprotein
b0909,Membrane
b0909,Metal-binding
b0909,Metalloprotease
b0909,Palmitate
b0909,Protease
b0909,Reference proteome
b0909,Signal
b0909,Zinc
b0910,3D-structure
b0910,ATP-binding
b0910,Cytoplasm
b0910,Kinase
b0910,Nucleotide-binding
b0910,Reference proteome
b0910,Transferase
b0911,3D-structure
b0911,Acetylation
b0911,Chaperone
b0911,Cytoplasm
b0911,Direct protein sequencing
b0911,Phosphoprotein
b0911,RNA-binding
b0911,Reference proteome
b0911,Repeat
b0911,Repressor
b0911,Ribonucleoprotein
b0911,Ribosomal protein
b0912,3D-structure
b0912,Conjugation
b0912,Cytoplasm
b0912,DNA recombination
b0912,DNA-binding
b0912,Direct protein sequencing
b0912,Reference proteome
b0912,Transcription
b0912,Transcription regulation
b0912,Translation regulation
b0913,Cell membrane
b0913,Membrane
b0913,Reference proteome
b0913,Transmembrane
b0913,Transmembrane helix
b0914,3D-structure
b0914,ATP-binding
b0914,Cell inner membrane
b0914,Cell membrane
b0914,Lipid transport
b0914,Membrane
b0914,Nucleotide-binding
b0914,Reference proteome
b0914,Translocase
b0914,Transmembrane
b0914,Transmembrane helix
b0914,Transport
b0915,ATP-binding
b0915,Kinase
b0915,Lipid A biosynthesis
b0915,Lipid biosynthesis
b0915,Lipid metabolism
b0915,Nucleotide-binding
b0915,Reference proteome
b0915,Transferase
b0916,Reference proteome
b0917,Reference proteome
b0918,3D-structure
b0918,Cytoplasm
b0918,Direct protein sequencing
b0918,Lipopolysaccharide biosynthesis
b0918,Magnesium
b0918,Nucleotidyltransferase
b0918,Reference proteome
b0918,Transferase
b0919,Reference proteome
b0920,Cell inner membrane
b0920,Cell membrane
b0920,Cell wall biogenesis/degradation
b0920,Membrane
b0920,Reference proteome
b0920,Transmembrane
b0920,Transmembrane helix
b0921,Methyltransferase
b0921,Reference proteome
b0921,S-adenosyl-L-methionine
b0921,Transferase
b0921,tRNA processing
b0922,3D-structure
b0922,Calcium
b0922,Cell cycle
b0922,Cell division
b0922,Chromosome partition
b0922,Cytoplasm
b0922,DNA condensation
b0922,Direct protein sequencing
b0922,Reference proteome
b0923,3D-structure
b0923,Cell cycle
b0923,Cell division
b0923,Chromosome partition
b0923,Cytoplasm
b0923,DNA condensation
b0923,Direct protein sequencing
b0923,Reference proteome
b0924,3D-structure
b0924,ATP-binding
b0924,Cell cycle
b0924,Cell division
b0924,Chromosome partition
b0924,Coiled coil
b0924,Cytoplasm
b0924,DNA condensation
b0924,DNA-binding
b0924,Direct protein sequencing
b0924,Nucleotide-binding
b0924,Reference proteome
b0925,3D-structure
b0925,Cell shape
b0925,Cell wall biogenesis/degradation
b0925,Glycosyltransferase
b0925,Hydrolase
b0925,Membrane
b0925,Peptidoglycan synthesis
b0925,Reference proteome
b0925,Transferase
b0925,Transmembrane
b0925,Transmembrane helix
b0926,Reference proteome
b0926,Signal
b0927,Detoxification
b0927,Hydrolase
b0927,Metal-binding
b0927,Reference proteome
b0927,Zinc
b0928,3D-structure
b0928,Aminotransferase
b0928,Cytoplasm
b0928,Direct protein sequencing
b0928,Pyridoxal phosphate
b0928,Reference proteome
b0928,Transferase
b0929,3D-structure
b0929,Cell outer membrane
b0929,Direct protein sequencing
b0929,Ion transport
b0929,Membrane
b0929,Porin
b0929,Reference proteome
b0929,Signal
b0929,Transmembrane
b0929,Transmembrane beta strand
b0929,Transport
b0930,ATP-binding
b0930,Aminoacyl-tRNA synthetase
b0930,Cytoplasm
b0930,Direct protein sequencing
b0930,Ligase
b0930,Nucleotide-binding
b0930,Protein biosynthesis
b0930,Reference proteome
b0931,Direct protein sequencing
b0931,Ligase
b0931,Phosphoprotein
b0931,Pyridine nucleotide biosynthesis
b0931,Reference proteome
b0932,3D-structure
b0932,Aminopeptidase
b0932,Cell inner membrane
b0932,Cell membrane
b0932,Direct protein sequencing
b0932,Hydrolase
b0932,Membrane
b0932,Metal-binding
b0932,Metalloprotease
b0932,Protease
b0932,Reference proteome
b0932,Zinc
b0933,ATP-binding
b0933,Cell inner membrane
b0933,Cell membrane
b0933,Membrane
b0933,Nucleotide-binding
b0933,Reference proteome
b0933,Translocase
b0933,Transport
b0934,Cell inner membrane
b0934,Cell membrane
b0934,Membrane
b0934,Reference proteome
b0934,Transmembrane
b0934,Transmembrane helix
b0934,Transport
b0935,3D-structure
b0935,Direct protein sequencing
b0935,FMN
b0935,Flavoprotein
b0935,Monooxygenase
b0935,Oxidoreductase
b0935,Reference proteome
b0936,3D-structure
b0936,Periplasm
b0936,Reference proteome
b0936,Signal
b0936,Transport
b0937,3D-structure
b0937,Direct protein sequencing
b0937,FMN
b0937,Flavoprotein
b0937,NADP
b0937,Oxidoreductase
b0937,Reference proteome
b0938,Fimbrium
b0938,Reference proteome
b0938,Signal
b0939,Chaperone
b0939,Fimbrium biogenesis
b0939,Immunoglobulin domain
b0939,Periplasm
b0939,Reference proteome
b0939,Signal
b0940,Cell outer membrane
b0940,Fimbrium biogenesis
b0940,Membrane
b0940,Reference proteome
b0940,Signal
b0940,Transmembrane
b0940,Transmembrane beta strand
b0940,Transport
b0941,Fimbrium
b0941,Reference proteome
b0941,Signal
b0942,Reference proteome
b0942,Signal
b0943,Reference proteome
b0943,Signal
b0944,Chaperone
b0944,Fimbrium biogenesis
b0944,Immunoglobulin domain
b0944,Periplasm
b0944,Reference proteome
b0944,Signal
b0945,3D-structure
b0945,Cell membrane
b0945,Direct protein sequencing
b0945,FMN
b0945,Flavoprotein
b0945,Membrane
b0945,Oxidoreductase
b0945,Pyrimidine biosynthesis
b0945,Reference proteome
b0946,3D-structure
b0946,Cell cycle
b0946,Cell division
b0946,Cytoplasm
b0946,Reference proteome
b0946,Septation
b0947,Reference proteome
b0948,3D-structure
b0948,Cytoplasm
b0948,Methyltransferase
b0948,RNA-binding
b0948,Reference proteome
b0948,S-adenosyl-L-methionine
b0948,Transferase
b0948,rRNA processing
b0949,3D-structure
b0949,ATP-binding
b0949,Coiled coil
b0949,Cytoplasm
b0949,DNA damage
b0949,DNA repair
b0949,DNA-binding
b0949,Direct protein sequencing
b0949,Hydrolase
b0949,Nucleotide-binding
b0949,Reference proteome
b0949,Repeat
b0950,Cell inner membrane
b0950,Cell membrane
b0950,Membrane
b0950,Reference proteome
b0950,Transmembrane
b0950,Transmembrane helix
b0950,Transport
b0951,3D-structure
b0951,Cell inner membrane
b0951,Cell membrane
b0951,Coiled coil
b0951,Membrane
b0951,Reference proteome
b0951,Repeat
b0951,Transmembrane
b0951,Transmembrane helix
b0952,Cell outer membrane
b0952,Lipoprotein
b0952,Membrane
b0952,Palmitate
b0952,Reference proteome
b0952,Signal
b0953,3D-structure
b0953,Cytoplasm
b0953,Direct protein sequencing
b0953,RNA-binding
b0953,Reference proteome
b0953,Stress response
b0953,Translation regulation
b0953,rRNA-binding
b0954,3D-structure
b0954,Cytoplasm
b0954,Direct protein sequencing
b0954,Fatty acid biosynthesis
b0954,Fatty acid metabolism
b0954,Isomerase
b0954,Lipid biosynthesis
b0954,Lipid metabolism
b0954,Lyase
b0954,Reference proteome
b0955,Hydrolase
b0955,Protease
b0955,Reference proteome
b0955,Serine protease
b0956,3D-structure
b0956,Cell cycle
b0956,Cell division
b0956,Cytoplasm
b0956,DNA-binding
b0956,Reference proteome
b0957,3D-structure
b0957,Cell outer membrane
b0957,Conjugation
b0957,Direct protein sequencing
b0957,Disulfide bond
b0957,Host-virus interaction
b0957,Hydroxylation
b0957,Ion transport
b0957,Membrane
b0957,Porin
b0957,Reference proteome
b0957,Repeat
b0957,Signal
b0957,Transmembrane
b0957,Transmembrane beta strand
b0957,Transport
b0958,Cell cycle
b0958,Cell division
b0958,DNA damage
b0958,Reference proteome
b0958,SOS response
b0958,Septation
b0959,Activator
b0959,Competence
b0959,Reference proteome
b0959,Transcription
b0959,Transcription regulation
b0960,Cell inner membrane
b0960,Cell membrane
b0960,Membrane
b0960,Reference proteome
b0960,Transmembrane
b0960,Transmembrane helix
b0961,Cell inner membrane
b0961,Cell membrane
b0961,Membrane
b0961,Reference proteome
b0961,Transmembrane
b0961,Transmembrane helix
b0962,ATP-binding
b0962,DNA-binding
b0962,Direct protein sequencing
b0962,Helicase
b0962,Hydrolase
b0962,Nucleotide-binding
b0962,Reference proteome
b0963,3D-structure
b0963,Cytoplasm
b0963,Direct protein sequencing
b0963,Lyase
b0963,Reference proteome
b0964,Reference proteome
b0964,Signal
b0965,Direct protein sequencing
b0965,Reference proteome
b0966,3D-structure
b0966,Cytoplasm
b0966,Direct protein sequencing
b0966,Reference proteome
b0966,Stress response
b0967,3D-structure
b0967,Cytoplasm
b0967,Methyltransferase
b0967,RNA-binding
b0967,Reference proteome
b0967,S-adenosyl-L-methionine
b0967,Transferase
b0967,rRNA processing
b0968,3D-structure
b0968,Disulfide bond
b0968,Hydrolase
b0968,Reference proteome
b0969,Cytoplasm
b0969,Reference proteome
b0969,Transferase
b0969,tRNA processing
b0970,Cell inner membrane
b0970,Cell membrane
b0970,Membrane
b0970,Reference proteome
b0970,Transmembrane
b0970,Transmembrane helix
b0972,3D-structure
b0972,3Fe-4S
b0972,4Fe-4S
b0972,Cell inner membrane
b0972,Cell membrane
b0972,Direct protein sequencing
b0972,Iron
b0972,Iron-sulfur
b0972,Membrane
b0972,Metal-binding
b0972,Oxidoreductase
b0972,Reference proteome
b0972,Signal
b0972,Transmembrane
b0972,Transmembrane helix
b0973,3D-structure
b0973,Cell membrane
b0973,Direct protein sequencing
b0973,Membrane
b0973,Metal-binding
b0973,Nickel
b0973,Oxidoreductase
b0973,Reference proteome
b0974,3D-structure
b0974,Cell inner membrane
b0974,Cell membrane
b0974,Electron transport
b0974,Heme
b0974,Iron
b0974,Membrane
b0974,Metal-binding
b0974,Reference proteome
b0974,Transmembrane
b0974,Transmembrane helix
b0974,Transport
b0975,Aspartyl protease
b0975,Hydrolase
b0975,Metal-binding
b0975,Nickel
b0975,Protease
b0975,Reference proteome
b0976,3D-structure
b0976,Reference proteome
b0977,Nickel
b0977,Reference proteome
b0978,Cell inner membrane
b0978,Cell membrane
b0978,Direct protein sequencing
b0978,Electron transport
b0978,Heme
b0978,Iron
b0978,Membrane
b0978,Metal-binding
b0978,Reference proteome
b0978,Translocase
b0978,Transmembrane
b0978,Transmembrane helix
b0978,Transport
b0979,Cell inner membrane
b0979,Cell membrane
b0979,Electron transport
b0979,Heme
b0979,Iron
b0979,Membrane
b0979,Metal-binding
b0979,Reference proteome
b0979,Translocase
b0979,Transmembrane
b0979,Transmembrane helix
b0979,Transport
b0980,3D-structure
b0980,Direct protein sequencing
b0980,Disulfide bond
b0980,Hydrolase
b0980,Multifunctional enzyme
b0980,Periplasm
b0980,Reference proteome
b0980,Signal
b0981,3D-structure
b0981,ATP-binding
b0981,Cell inner membrane
b0981,Cell membrane
b0981,Kinase
b0981,Membrane
b0981,Nucleotide-binding
b0981,Phosphoprotein
b0981,Reference proteome
b0981,Transferase
b0981,Transmembrane
b0981,Transmembrane helix
b0981,Tyrosine-protein kinase
b0982,Hydrolase
b0982,Protein phosphatase
b0982,Reference proteome
b0983,Cell outer membrane
b0983,Ion transport
b0983,Lipoprotein
b0983,Membrane
b0983,Palmitate
b0983,Polysaccharide transport
