bnumber	rank	strand	begin	end
b1010	988	-	1071772	1072159
b1011	989	-	1072170	1072863
b1012	990	-	1072862	1074011
b1013	991	+	1074241	1074880
b1014	992	-	1074919	1078882
b4737	993	+	1079119	1079146
b1015	994	+	1079304	1080813
b1018	995	+	1082242	1083370
b1019	996	+	1083375	1084647
b1020	997	+	1084991	1086056
b1021	998	-	1086105	1086519
b1022	999	-	1086520	1087846
b1023	1000	-	1087838	1089857
b1024	1001	-	1089865	1092289
b1025	1002	+	1092875	1094234
b1026	1003	-	1094274	1095141
b1027	1004	-	1095137	1095437
b1029	1005	+	1095842	1096829
b1033	1006	+	1097885	1098824
b1034	1007	+	1098878	1099616
b1035	1008	+	1099639	1100194
b1036	1009	+	1100295	1100787
b1037	1010	-	1100850	1101684
b1038	1011	-	1101710	1102127
b1039	1012	-	1102151	1102541
b1040	1013	-	1102545	1103196
b1041	1014	+	1103950	1104406
b1042	1015	+	1104446	1104902
b1043	1016	+	1104960	1105293
b1044	1017	+	1105413	1105725
b1045	1018	+	1105819	1106353
b1046	1019	+	1106354	1107776
b1047	1020	-	1107783	1108941
b1048	1021	+	1109334	1110870
b1049	1022	+	1110862	1113406
b1050	1023	+	1113578	1113806
b1051	1024	-	1113806	1114181
b1053	1025	-	1114263	1115490
b1054	1026	-	1115661	1116582
b1055	1027	+	1116806	1117859
b1056	1028	-	1117900	1118476
b1057	1029	-	1118479	1119046
b1058	1030	-	1119306	1119447
b1059	1031	-	1119467	1120586
b1060	1032	-	1120700	1120955
b1061	1033	-	1121241	1121487
b1062	1034	-	1121560	1122607
b1063	1035	-	1122712	1123273
b1064	1036	-	1123406	1124054
b1065	1037	-	1124117	1125326
b1066	1038	+	1125561	1126146
b1067	1039	+	1126156	1126804
b1068	1040	+	1126805	1127729
b1069	1041	+	1127838	1129374
b1070	1042	-	1129413	1129830
b1071	1043	-	1129834	1130128
b1072	1044	-	1130203	1130863
b1073	1045	+	1131017	1131434
b1074	1046	+	1131437	1131842
b1075	1047	+	1131853	1132549
b1076	1048	+	1132573	1133782
b1077	1049	+	1133801	1134557
b1078	1050	+	1134728	1135511
b1079	1051	+	1135563	1136262
b1080	1052	+	1136273	1137371
b1081	1053	+	1137370	1138312
b1082	1054	+	1138377	1140021
b1083	1055	+	1140032	1140986
b1084	1056	-	1141181	1144367
b1085	1057	+	1144501	1144822
b1086	1058	+	1144939	1145899
b1087	1059	-	1146010	1146595
b1088	1060	+	1146793	1147315
b1089	1061	+	1147366	1147540
b1090	1062	+	1147620	1148691
b1091	1063	+	1148758	1149712
b1092	1064	+	1149727	1150657
b1093	1065	+	1150669	1151404
b1094	1066	+	1151614	1151851
b1095	1067	+	1151938	1153180
b1096	1068	+	1153299	1154109
b1097	1069	+	1154111	1155134
b1098	1070	+	1155123	1155765
b1099	1071	+	1155761	1156766
b1100	1072	+	1156776	1157574
b1101	1073	+	1157868	1159302
b1102	1074	-	1159361	1161551
b1103	1075	+	1161884	1162244
b1104	1076	+	1162246	1162624
b1105	1077	+	1162637	1163279
b1106	1078	+	1163259	1164084
b1107	1079	+	1164094	1165120
b1108	1080	+	1165142	1165685
b1109	1081	+	1166084	1167389
b1110	1082	+	1167598	1168138
b1111	1083	-	1168199	1168832
b1112	1084	+	1169072	1169330
b1113	1085	-	1169411	1170374
b1114	1086	-	1170517	1173964
b1115	1087	-	1174091	1175165
b1116	1088	+	1175426	1176626
b1117	1089	+	1176618	1177320
b1118	1090	+	1177319	1178564
b1119	1091	+	1178592	1179504
b1120	1092	+	1179519	1180359
b1120	1093	+	1179630	1180359
b1121	1094	-	1180478	1181267
b1122	1095	-	1181263	1181725
b1123	1096	-	1181782	1182829
b1124	1097	-	1182825	1183620
b1125	1098	-	1183616	1184444
b1126	1099	-	1184457	1185594
b1127	1100	+	1185843	1187070
b1128	1101	-	1187118	1188240
b1129	1102	-	1188315	1189776
b1130	1103	-	1189775	1190447
b1131	1104	-	1190615	1191986
b1132	1105	-	1191989	1192631
b1133	1106	-	1192666	1193773
b1134	1107	-	1193826	1194288
b1135	1108	-	1194297	1194951
b1136	1109	+	1195122	1196373
b1137	1110	-	1196866	1197532
b1138	1111	-	1197532	1198237
b1139	1112	+	1198694	1199588
b1140	1113	-	1199678	1200806
b1141	1114	-	1200786	1201032
b1142	1115	-	1201068	1201380
b1143	1116	+	1201496	1201838
b1144	1117	-	1201775	1202084
b1145	1118	-	1202258	1202933
b1146	1119	+	1203023	1203224
b1147	1120	+	1203267	1203825
b1148	1121	+	1203821	1204160
b1149	1122	+	1204169	1205537
b1150	1123	+	1205548	1205731
b1151	1124	+	1205730	1206204
b1153	1125	+	1206912	1207497
b1154	1126	+	1207500	1208130
b1155	1127	+	1208131	1208545
b1156	1128	-	1208516	1209119
b1158	1129	+	1209684	1210239
b1159	1130	+	1210345	1211179
b1160	1131	-	1211679	1212003
b4738	1132	-	1212259	1212304
b4739	1133	-	1212539	1212650
b1161	1134	-	1212702	1213107
b1162	1135	-	1213327	1214059
b1163	1136	-	1214263	1215475
b1164	1137	+	1215788	1216025
b1165	1138	+	1216067	1216340
b1166	1139	+	1216368	1216635
b1167	1140	+	1216747	1216996
b1168	1141	+	1217327	1218851
b4520	1142	+	1218982	1219201
b1171	1143	-	1222304	1222634
b1172	1144	-	1222643	1222988
b4593	1145	-	1222989	1223163
b4594	1146	+	1223263	1223449
b1174	1147	-	1224278	1224545
b1175	1148	-	1224548	1225361
b1176	1149	-	1225384	1226080
b1177	1150	+	1226599	1226968
b1178	1151	-	1227070	1227472
b1179	1152	+	1227680	1228007
b1180	1153	+	1228078	1228738
b1181	1154	+	1228814	1229276
b1182	1155	-	1229482	1230394
b1183	1156	+	1230766	1231186
b1184	1157	+	1231185	1232454
b1185	1158	-	1232499	1233030
b1186	1159	-	1233175	1234717
b1187	1160	+	1234937	1235657
b1188	1161	-	1235708	1237241
b1189	1162	+	1237570	1238869
b1190	1163	+	1238878	1239949
b4740	1164	+	1240259	1240463
b1191	1165	-	1240334	1242071
b1192	1166	-	1242165	1243080
b1193	1167	+	1243179	1243791
b1194	1168	-	1243792	1244527
b1195	1169	+	1244727	1244982
b1196	1170	+	1245159	1245600
b1197	1171	-	1245678	1247376
b1198	1172	-	1247695	1249114
b1199	1173	-	1249124	1249757
b1200	1174	-	1249767	1250838
b1201	1175	+	1251065	1252985
b1202	1176	-	1253084	1255952
b1203	1177	-	1256720	1257812
b1204	1178	-	1257928	1258513
b1205	1179	+	1258790	1259069
b1206	1180	-	1259123	1260803
b1207	1181	-	1260927	1261875
b1208	1182	-	1262025	1262877
b1209	1183	-	1262876	1263500
b1210	1184	+	1263713	1264970
b1211	1185	+	1265011	1266094
b1212	1186	+	1266093	1266927
b1213	1187	+	1266923	1267316
b1214	1188	+	1267319	1268129
b1215	1189	+	1268164	1269019
b4419	1190	-	1269167	1269275
b4421	1191	-	1269702	1269810
b4423	1192	-	1270237	1270345
b1216	1193	-	1270748	1271849
b1217	1194	+	1272118	1272349
b1218	1195	+	1272506	1273202
b1219	1196	-	1273245	1273599
b1220	1197	+	1273783	1275178
b1221	1198	-	1275178	1275829
b1222	1199	-	1275821	1277618
b1223	1200	+	1277956	1279348
b1224	1201	+	1279863	1283607
b1225	1202	+	1283603	1285142
b1226	1203	+	1285138	1285849
b1227	1204	+	1285848	1286526
b1228	1205	+	1286708	1286984
b1229	1206	-	1287086	1287176
b1232	1207	-	1287781	1288624
b1233	1208	-	1288673	1289132
b1234	1209	+	1289244	1290150
b1235	1210	+	1290241	1291255
b1236	1211	+	1291456	1292365
b1237	1212	-	1292508	1292922
b1238	1213	+	1293526	1294144
b1241	1214	-	1295445	1298121
b4771	1215	+	1298513	1298567
b1242	1216	+	1298597	1299245
b4711	1217	+	1299566	1300547
b1243	1218	+	1301181	1302813
b1244	1219	+	1302898	1303819
b1245	1220	+	1303833	1304742
b1246	1221	+	1304753	1305767
b1247	1222	+	1305763	1306768
b1248	1223	-	1306820	1307150
b1249	1224	-	1307184	1308645
b4595	1225	+	1308787	1308961
b1250	1226	-	1309015	1310269
b1251	1227	-	1310568	1310865
b1252	1228	+	1311088	1311808
b1253	1229	-	1311847	1312246
b1254	1230	-	1312350	1312890
b1255	1231	-	1312919	1313663
b1256	1232	+	1314019	1314658
b1257	1233	-	1314717	1315224
b1258	1234	-	1315269	1315770
b1259	1235	-	1315855	1316035
b1260	1236	-	1316415	1317222
b1261	1237	-	1317221	1318415
b1262	1238	-	1318426	1319788
b1263	1239	-	1319788	1321384
b1264	1240	-	1321383	1322946
b1265	1241	-	1323037	1323082
b1266	1242	+	1323219	1324101
b1267	1243	+	1324097	1324718
b1268	1244	+	1324745	1326641
b1269	1245	+	1326851	1327727
b1270	1246	-	1327766	1328357
b1271	1247	-	1328353	1329112
b1272	1248	+	1329331	1330381
b1273	1249	-	1330416	1330668
b1274	1250	+	1331047	1333645
b1275	1251	+	1333854	1334829
b4522	1252	+	1335147	1335288
b4523	1253	+	1335290	1335458
b4741	1254	+	1335571	1335667
b1276	1255	+	1335830	1338506
b1277	1256	-	1338569	1339160
b1278	1257	+	1339329	1340094
b1279	1258	+	1340242	1340551
b1280	1259	+	1340557	1341727
b1281	1260	+	1341920	1342658
b1282	1261	+	1342657	1342984
b1283	1262	-	1343109	1343328
b1284	1263	-	1343596	1344346
b4596	1264	-	1344435	1344609
b4772	1265	+	1344646	1344775
b1285	1266	-	1344756	1346742
b4672	1267	+	1346795	1346900
b1286	1268	-	1346977	1348912
b1287	1269	-	1348979	1350107
b1288	1270	-	1350250	1351039
b1289	1271	-	1351406	1351760
b1290	1272	-	1351827	1352634
b1291	1273	-	1352635	1353628
b1292	1274	-	1353627	1354518
b1293	1275	-	1354504	1355470
b1294	1276	-	1355466	1357110
b1295	1277	-	1357422	1357668
b1296	1278	-	1357801	1359187
b4742	1279	-	1359176	1359341
b1297	1280	-	1359489	1360908
b1298	1281	+	1361119	1361884
b1299	1282	+	1361910	1362468
b1300	1283	+	1362742	1364230
b1301	1284	+	1364231	1365512
b1302	1285	+	1365549	1366815
b1303	1286	-	1366934	1367912
b1304	1287	+	1368078	1368747
b1305	1288	+	1368800	1369025
b1306	1289	+	1369024	1369384
b1307	1290	+	1369392	1369614
b1308	1291	+	1369688	1370003
b1309	1292	+	1370215	1371895
b1310	1293	+	1371908	1373201
b1311	1294	+	1373221	1374103
b1312	1295	+	1374089	1374932
b1313	1296	+	1374962	1376015
b1314	1297	+	1376033	1376822
b1315	1298	+	1376831	1377887
b1316	1299	+	1377883	1380151
b1317	1300	+	1380147	1380807
b1319	1301	+	1381946	1382852
b1320	1302	-	1382962	1383961
b1321	1303	+	1384116	1385514
b1322	1304	+	1385510	1386572
b1323	1305	+	1386719	1388261
b1324	1306	-	1388304	1388811
b1325	1307	+	1388929	1389895
b1326	1308	-	1389869	1390598
b4525	1309	-	1390679	1390862
b4673	1310	-	1390867	1390933
b1327	1311	-	1390932	1391853
b1328	1312	+	1391990	1392890
b1329	1313	+	1393226	1394840
b1330	1314	-	1394890	1395922
b1331	1315	+	1396111	1397092
b1332	1316	+	1397364	1397622
b1333	1317	-	1397671	1398622
b1334	1318	-	1398773	1399526
b1335	1319	-	1399720	1400236
b1336	1320	-	1400246	1401773
b1337	1321	-	1401809	1403255
b1338	1322	-	1403254	1404565
b1339	1323	+	1404740	1405649
b1340	1324	+	1405978	1406542
b1341	1325	-	1406562	1407795
b4773	1326	+	1407988	1408036
b1342	1327	+	1408049	1409033
b4743	1328	+	1409307	1409481
b1343	1329	+	1409510	1410884
b1344	1330	-	1411012	1411948
b1345	1331	-	1411999	1413235
b1346	1332	-	1413236	1413452
b1347	1333	-	1413530	1413740
b1348	1334	-	1413732	1413927
b1349	1335	-	1413983	1414793
b1350	1336	-	1414785	1417386
b1351	1337	-	1417487	1417763
b4526	1338	-	1417837	1418008
b1352	1339	-	1418007	1418229
b1353	1340	+	1418670	1419159
b4527	1341	-	1419155	1419311
b1355	1342	-	1419321	1419456
b1356	1343	-	1419764	1420241
b1357	1344	+	1420364	1420661
b1358	1345	+	1420683	1421106
b1359	1346	+	1421118	1421976
b1360	1347	+	1421982	1422729
b1361	1348	+	1422751	1423312
b4528	1349	+	1423399	1423585
b1363	1350	+	1423781	1425239
b1365	1351	+	1425376	1425640
b1366	1352	+	1425620	1425980
b1368	1353	+	1426453	1427482
b4570	1354	+	1427388	1427598
b1370	1355	-	1427745	1428726
b1372	1356	+	1429048	1432411
b1373	1357	+	1432410	1432986
b1374	1358	-	1433083	1433674
b1375	1359	-	1433990	1434224
b4744	1360	-	1434292	1434406
b1376	1361	-	1435184	1435619
b1377	1362	-	1435759	1436893
b1378	1363	-	1437259	1440784
b4529	1364	+	1441057	1441324
b1379	1365	-	1441320	1441743
b1380	1366	-	1441853	1442843
b1381	1367	+	1443050	1445690
b1382	1368	+	1445686	1445872
b1383	1369	+	1445879	1446206
b1384	1370	-	1446377	1447283
b1385	1371	+	1447518	1449018
b1386	1372	-	1449075	1451349
b1387	1373	-	1451596	1453642
b1388	1374	+	1453926	1454856
b1389	1375	+	1454867	1455155
b1390	1376	+	1455163	1455910
b1391	1377	+	1455924	1456422
b1392	1378	+	1456429	1457500
b1393	1379	+	1457496	1458264
b1394	1380	+	1458263	1459052
b1395	1381	+	1459053	1460481
b1396	1382	+	1460470	1460893
b1397	1383	+	1460892	1462098
b1398	1384	+	1462124	1463438
b1399	1385	+	1463538	1464489
b1400	1386	+	1464470	1465061
b4674	1387	-	1465164	1465230
b4492	1388	+	1465391	1467909
b1402	1389	-	1467920	1468826
b1403	1390	-	1468783	1469149
b1404	1391	+	1469357	1470509
b1406	1392	+	1474220	1475081
b1407	1393	+	1475143	1477450
b1408	1394	+	1477620	1478226
b1409	1395	+	1478225	1479122
b1410	1396	+	1479137	1480895
b1411	1397	+	1480908	1482201
b1412	1398	-	1482254	1482860
b1413	1399	+	1483060	1486963
b1414	1400	+	1487234	1488035
b1415	1401	+	1488231	1489671
b1418	1402	+	1490901	1491432
b1419	1403	+	1491676	1491850
b4774	1404	+	1491875	1491944
b4428	1405	-	1491921	1492071
b1420	1406	-	1491961	1492129
b1421	1407	+	1492469	1494110
b1422	1408	-	1494147	1495071
b1423	1409	+	1495287	1496631
b1424	1410	+	1496855	1498511
b1426	1411	+	1498650	1498875
b1427	1412	+	1498937	1499477
b1428	1413	-	1499468	1500449
b1429	1414	+	1500572	1501565
b1430	1415	+	1501561	1502155
b1431	1416	+	1502456	1503125
b1432	1417	+	1503716	1504865
b1433	1418	-	1504904	1506080
b1434	1419	+	1506171	1506708
b1435	1420	+	1506780	1508742
b1436	1421	-	1508833	1509064
b4532	1422	+	1509285	1509462
b1438	1423	+	1509507	1509924
b1439	1424	+	1510002	1511409
b1440	1425	+	1511653	1512799
b1441	1426	+	1512816	1513830
b1442	1427	+	1513830	1514772
b1443	1428	+	1514761	1515556
b1444	1429	+	1515577	1517002
b4598	1430	-	1517098	1517194
b1445	1431	+	1517388	1517562
b1446	1432	+	1517647	1517881
b1447	1433	-	1517881	1518331
b1448	1434	-	1518327	1518846
b1449	1435	+	1519026	1520064
b1450	1436	+	1520261	1520927
b1451	1437	-	1520962	1523065
b1452	1438	+	1523306	1524368
b1453	1439	-	1524480	1525980
b1454	1440	+	1526246	1526864
b1455	1441	+	1526939	1527152
b1457	1442	+	1529921	1530404
b4745	1443	-	1530318	1530504
b1460	1444	+	1531815	1532952
b1461	1445	+	1533051	1533285
b1462	1446	-	1533281	1533851
b1463	1447	+	1534023	1534869
b1464	1448	-	1534964	1535858
b1465	1449	-	1535936	1536617
b1466	1450	-	1536613	1537309
b1467	1451	-	1537308	1538853
b1468	1452	-	1538849	1542590
b1469	1453	-	1542671	1544060
b1471	1454	-	1544757	1545714
b1472	1455	-	1545737	1546028
b1473	1456	-	1546287	1547169
b1474	1457	+	1547400	1550448
b1475	1458	+	1550460	1551345
b1476	1459	+	1551337	1551991
b1477	1460	-	1552397	1552682
b1478	1461	-	1552827	1553838
b1479	1462	-	1553971	1555669
b1480	1463	-	1555825	1555963
b1481	1464	-	1556064	1556280
b1482	1465	+	1556624	1557056
b1483	1466	-	1557111	1558038
b1484	1467	-	1558030	1559017
b1485	1468	-	1559013	1559910
b1486	1469	-	1559906	1560929
b1487	1470	-	1560930	1562481
b1488	1471	-	1562494	1563076
b1489	1472	-	1563333	1565733
b1490	1473	-	1565757	1567140
b4746	1474	-	1567177	1567219
b1491	1475	-	1567503	1568823
b1492	1476	-	1568953	1570489
b1493	1477	-	1570644	1572045
b1494	1478	-	1572406	1575202
b1495	1479	-	1575246	1577619
b1496	1480	-	1577656	1579342
b4747	1481	+	1579544	1579667
b1497	1482	-	1579632	1580790
b1498	1483	-	1580841	1582524
b1499	1484	-	1582925	1583687
b1500	1485	-	1583761	1583959
b1501	1486	-	1584206	1586486
b1502	1487	-	1586819	1587734
b1503	1488	-	1587792	1588296
b1504	1489	-	1588308	1588839
b1505	1490	-	1588852	1590001
b1507	1491	-	1590853	1592176
b1508	1492	-	1592175	1592442
b1511	1493	-	1598616	1600209
b1512	1494	-	1600287	1601241
b1513	1495	+	1601489	1603025
b1514	1496	+	1603018	1604047
b1515	1497	+	1604046	1605039
b1516	1498	+	1605050	1606073
b1517	1499	+	1606099	1606975
b1518	1500	+	1606998	1607289
b1519	1501	+	1607345	1608104
b1520	1502	-	1608107	1609022
b1521	1503	-	1609228	1610680
b1522	1504	-	1610906	1611854
b1523	1505	-	1611965	1612325
b1524	1506	-	1612324	1613251
b1525	1507	-	1613314	1614703
b1526	1508	+	1614803	1615685
b1527	1509	+	1615762	1616878
b1528	1510	+	1617027	1618218
b1529	1511	-	1618242	1618908
b1530	1512	+	1619119	1619554
b1531	1513	+	1619573	1619957
b1532	1514	+	1619988	1620207
b1533	1515	-	1620237	1621137
b1534	1516	+	1621331	1622519
b4599	1517	+	1622645	1622741
b4775	1518	+	1622740	1622845
b1535	1519	-	1622959	1623850
b1536	1520	-	1624104	1624497
b1537	1521	+	1624772	1625291
b1538	1522	-	1625334	1627380
b1539	1523	+	1627516	1628263
b1540	1524	+	1628351	1629038
b1541	1525	+	1629214	1629418
b1542	1526	-	1629452	1630913
b1543	1527	-	1631001	1632285
b4748	1528	+	1632889	1633003
b1544	1529	+	1633071	1633305
b1545	1530	+	1633621	1634212
b1546	1531	-	1634309	1634885
b1547	1532	-	1634884	1635847
b1548	1533	-	1635797	1636367
b4533	1534	+	1636755	1636989
b1549	1535	+	1637046	1637457
b1550	1536	-	1637608	1637782
b1551	1537	-	1637953	1638109
b4749	1538	-	1638187	1638253
b4724	1539	-	1638255	1638444
b1552	1540	-	1638454	1638667
b1553	1541	-	1639029	1639527
b4689	1542	-	1639079	1639334
b1554	1543	-	1639523	1640057
b1555	1544	-	1640053	1640365
b1556	1545	-	1640369	1640585
b4776	1546	+	1640804	1640975
b1557	1547	-	1641338	1641554
b1558	1548	+	1641854	1642067
b4750	1549	+	1642121	1642211
b1559	1550	-	1642488	1643241
b1560	1551	-	1643254	1644304
b1561	1552	-	1644650	1644902
b1562	1553	-	1645118	1645274
b1563	1554	-	1645345	1645633
b1564	1555	-	1645632	1645872
b1565	1556	+	1645896	1646202
b1566	1557	+	1646404	1646737
b1567	1558	-	1647173	1647323
b1568	1559	-	1647345	1647636
b1569	1560	-	1647619	1647850
b1570	1561	+	1647933	1648341
b1571	1562	+	1648507	1648663
b1572	1563	+	1648664	1648793
b1573	1564	+	1648822	1649041
b1575	1565	+	1649608	1649797
b1576	1566	+	1649793	1649985
b4534	1567	-	1652727	1652838
b1580	1568	-	1652895	1653915
b1581	1569	-	1653926	1655141
b1582	1570	-	1655346	1655673
b1583	1571	+	1655807	1656149
b1584	1572	+	1656183	1656744
b1585	1573	-	1656746	1657457
b1586	1574	+	1657564	1657870
b1587	1575	+	1658068	1660495
b1588	1576	+	1660555	1662979
b1589	1577	+	1662989	1663607
b1590	1578	+	1663608	1664463
b1591	1579	+	1664505	1665120
b1592	1580	+	1665314	1666571
b1593	1581	-	1666523	1667219
b1594	1582	-	1667343	1668564
b1595	1583	-	1668698	1669592
b1596	1584	+	1669698	1670952
b1597	1585	+	1671375	1671684
b4601	1586	+	1671776	1671860
b1598	1587	+	1671959	1672781
b1599	1588	-	1672819	1673149
b1600	1589	-	1673135	1673501
b4777	1590	-	1673607	1673709
b1601	1591	+	1673912	1674947
b1602	1592	-	1674971	1676360
b1603	1593	-	1676370	1677903
b1604	1594	+	1678426	1679371
b1605	1595	+	1679556	1680939
b1606	1596	+	1680975	1681698
b1607	1597	-	1681694	1682030
b1608	1598	+	1682158	1682878
b1609	1599	+	1682881	1684183
b1610	1600	+	1684258	1685188
b1611	1601	-	1685184	1686588
b1612	1602	-	1686730	1688377
b1613	1603	+	1688575	1689751
b1614	1604	+	1689851	1691360
b1615	1605	-	1691585	1692851
b1616	1606	-	1692889	1694263
b1617	1607	-	1694259	1696071
b1618	1608	-	1696461	1697052
b1619	1609	-	1697272	1698040
b1620	1610	-	1698151	1699180
b1621	1611	+	1699354	1700947
b1622	1612	+	1700956	1702129
b1623	1613	+	1702232	1703234
b1624	1614	-	1703267	1704308
b4409	1615	+	1704550	1704676
b1625	1616	+	1704948	1705164
b1626	1617	+	1705249	1705690
b1627	1618	+	1705766	1706348
b1628	1619	+	1706347	1706926
b1629	1620	+	1706918	1709141
b1630	1621	+	1709141	1710200
b1631	1622	+	1710203	1710824
b1632	1623	+	1710827	1711523
b1633	1624	+	1711522	1712158
b1634	1625	+	1712768	1714271
b1635	1626	+	1714376	1714982
b1636	1627	-	1715025	1715889
b1637	1628	-	1715947	1717222
b1638	1629	-	1717350	1718007
b1639	1630	-	1718065	1718395
b1640	1631	-	1718492	1719602
b1641	1632	+	1719875	1720343
b1642	1633	-	1720389	1720824
b1643	1634	+	1721024	1721261
b1644	1635	+	1721263	1722121
b1645	1636	+	1722120	1724133
b1646	1637	-	1724133	1724655
b1647	1638	-	1724735	1725632
b1648	1639	-	1725680	1725920
b1649	1640	+	1726022	1726622
b1650	1641	+	1726658	1727756
b1651	1642	+	1727836	1728244
b1652	1643	+	1728346	1728994
b1653	1644	+	1729086	1733703
b1654	1645	-	1733753	1734101
b1655	1646	+	1734434	1735250
b1656	1647	+	1735377	1735959
b1657	1648	-	1736120	1737290
b4602	1649	-	1737455	1737545
b1658	1650	+	1737843	1738869
b1659	1651	-	1738865	1739798
b1660	1652	+	1739910	1741122
b1661	1653	+	1741412	1742561
b1662	1654	-	1742600	1743242
b1663	1655	+	1743456	1744830
b1664	1656	-	1744870	1746127
b1667	1657	+	1746699	1747005
b1668	1658	+	1747130	1748735
b1669	1659	-	1748746	1749559
b1670	1660	-	1749562	1750348
b1671	1661	-	1750344	1751013
b1672	1662	-	1751076	1751724
b1673	1663	-	1751727	1753830
b1674	1664	-	1753850	1754477
b1675	1665	-	1754931	1755141
b1676	1666	+	1755697	1757110
b1677	1667	+	1757420	1757657
b1678	1668	-	1757720	1758725
b1679	1669	-	1758873	1759290
b1680	1670	-	1759302	1760523
b1681	1671	-	1760519	1761791
b1682	1672	-	1761765	1762512
b1683	1673	-	1762521	1764009
b1684	1674	-	1764017	1764386
b1685	1675	-	1764933	1765122
b1686	1676	-	1765221	1765632
b1687	1677	-	1765628	1768685
b1688	1678	+	1769073	1770186
b1689	1679	+	1770614	1770971
b1690	1680	+	1771070	1772285
b1691	1681	+	1772511	1773777
b1692	1682	+	1773788	1774655
b1693	1683	+	1774685	1775444
b1694	1684	+	1775586	1777182
b1695	1685	+	1777195	1778347
b1696	1686	-	1778389	1779301
b1697	1687	+	1779616	1780381
b1698	1688	+	1780400	1781339
b1699	1689	+	1781394	1782684
b1700	1690	+	1782680	1782974
b1701	1691	+	1782976	1784677
b1702	1692	-	1784733	1787112
b1703	1693	+	1787444	1788278
b1704	1694	+	1788434	1789481
b1705	1695	+	1789612	1789804
b1706	1696	-	1789807	1791244
b1707	1697	-	1791306	1792020
b1708	1698	-	1792266	1792731
b1709	1699	-	1792808	1793558
b1710	1700	-	1793557	1794109
b1711	1701	-	1794171	1795152
b1712	1702	-	1795252	1795552
b1713	1703	-	1795556	1797944
b1714	1704	-	1797958	1798942
b1715	1705	-	1799225	1799270
b1716	1706	-	1799392	1799749
b1717	1707	-	1799801	1799999
b1718	1708	-	1800095	1800638
b1719	1709	-	1800641	1802570
b4535	1710	+	1805164	1805272
b1722	1711	-	1805324	1806083
b1723	1712	+	1806369	1807299
b1724	1713	+	1807399	1807690
b1725	1714	+	1807795	1808656
b1726	1715	-	1808696	1809233
b1727	1716	+	1809379	1810048
b1728	1717	+	1810210	1810801
b1729	1718	+	1810933	1812325
b1730	1719	-	1812328	1813132
b1731	1720	-	1813420	1813663
b1732	1721	+	1813866	1816128
b1733	1722	-	1816385	1817135
b1734	1723	-	1817147	1818500
b1735	1724	-	1818604	1819447
b1736	1725	-	1819454	1819805
b1737	1726	-	1819855	1821214
b1738	1727	-	1821298	1821619
b1739	1728	-	1821917	1822256
b1740	1729	+	1822457	1823285
b1741	1730	+	1823514	1824402
b1742	1731	-	1824361	1824937
b1743	1732	-	1825139	1825625
b1744	1733	-	1825954	1826923
b1745	1734	-	1826915	1828259
b1746	1735	-	1828255	1829734
b1747	1736	-	1829730	1830765
b1748	1737	-	1830761	1831982
b1749	1738	+	1832427	1833234
b1750	1739	+	1833400	1834111
b1751	1740	+	1834115	1834793
b1752	1741	+	1834807	1835515
b1753	1742	+	1835514	1836063
b1754	1743	+	1836072	1837239
b1755	1744	+	1837211	1838747
b1756	1745	+	1838746	1839400
b1757	1746	+	1839466	1840774
b1758	1747	-	1840782	1841403
b1759	1748	+	1841489	1841897
b1760	1749	-	1841862	1842135
b1761	1750	+	1842370	1843714
b1762	1751	-	1843830	1844871
b1763	1752	-	1844998	1846960
b1764	1753	-	1846964	1848008
b1765	1754	-	1848124	1848676
b1766	1755	+	1848836	1850693
b1767	1756	+	1850859	1851876
b1768	1757	+	1851886	1852528
b1769	1758	-	1852620	1853979
b1770	1759	-	1854095	1854854
b1771	1760	-	1854990	1855971
b1772	1761	-	1855980	1856928
b1773	1762	-	1856932	1857769
b1774	1763	-	1857789	1858833
b1775	1764	-	1858849	1860229
b1776	1765	-	1860255	1861332
b1777	1766	-	1861701	1861974
b1778	1767	-	1862015	1862429
b1779	1768	+	1862770	1863766
b1780	1769	+	1863849	1864734
b1781	1770	-	1864781	1865636
b1782	1771	-	1865725	1866472
b1783	1772	+	1866907	1868842
b1784	1773	+	1868954	1870238
b1785	1774	+	1870384	1871860
b1786	1775	+	1872040	1873531
b1787	1776	+	1873573	1874077
b1788	1777	-	1874077	1874182
b1789	1778	+	1874351	1874798
b1790	1779	-	1874754	1875576
b1791	1780	+	1875672	1876854
b1792	1781	+	1876908	1877256
b1793	1782	-	1877277	1877532
b1794	1783	+	1877714	1878740
b4676	1784	+	1878772	1878871
b4675	1785	+	1878873	1878948
b1795	1786	-	1879006	1879255
b1796	1787	-	1879402	1879585
b1797	1788	-	1879588	1879948
b1798	1789	-	1880120	1880759
b1799	1790	-	1880885	1881809
b1800	1791	+	1881911	1882997
b1801	1792	+	1883187	1884633
b1802	1793	+	1884664	1885789
b1803	1794	+	1885844	1886810
b1804	1795	-	1886863	1887991
b1805	1796	-	1888060	1889746
b1806	1797	-	1889950	1890532
b1807	1798	-	1890571	1891267
b1808	1799	-	1891324	1893235
b1809	1800	+	1893366	1893711
b1810	1801	+	1894132	1894432
b1811	1802	-	1894551	1894731
b1812	1803	+	1894804	1896166
b1813	1804	+	1896169	1896748
b1814	1805	+	1896931	1898296
b1815	1806	+	1898426	1900025
b1816	1807	-	1900028	1901585
b4751	1808	-	1901572	1901731
b1817	1809	+	1902047	1903019
b1818	1810	+	1903081	1903882
